Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,
-4.33178,1.13573,-4.07339,1.01397,0.285644,0.0900705,-0.0932356,0,0.101747,-0.106267,-0.0154603,
-4.56015,0.836883,-4.207,0.887563,0.356767,0.0969994,-0.0878653,0,0.116411,-0.11101,-0.0161131,
-4.66981,0.600947,-4.35181,0.746598,0.349766,0.0925923,-0.0825259,0,0.121,-0.116454,-0.0168085,
-4.72632,0.403103,-4.48622,0.617989,0.322216,0.0786191,-0.0756298,0,0.117029,-0.120099,-0.0173754,
-4.78486,0.179147,-4.60989,0.503594,0.368619,0.0619857,-0.0666533,0,0.117916,-0.121819,-0.0176631,
-4.84226,-0.0207185,-4.71762,0.404056,0.442683,0.0600819,-0.0559247,0,0.128347,-0.122066,-0.0176656,
-4.81933,-0.22266,-4.80983,0.316464,0.539208,0.0498933,-0.0421341,0,0.125741,-0.119841,-0.0168859,
-4.72105,-0.408001,-4.88998,0.243243,0.672798,0.0246876,-0.0260997,0,0.113079,-0.114774,-0.0159457,
-4.60455,-0.581368,-4.96171,0.181765,0.842575,0.00161794,-0.00765158,0,0.111614,-0.108064,-0.0152679,
-4.55665,-0.682961,-5.02114,0.12977,0.936102,0.00541133,0.00147981,0,0.109854,-0.0997349,-0.0139012,
-4.47334,-0.714062,-5.06617,0.0889851,0.998162,0.00588026,0.00117829,0,0.0955792,-0.0908377,-0.0126039,
-4.35517,-0.692673,-5.10532,0.0571109,1.06061,-0.00872818,0.00139339,0,0.0812,-0.0812034,-0.0114145,
-4.31096,-0.648501,-5.13891,0.0309684,1.07106,-0.0101441,0.00252684,0,0.0765874,-0.0712067,-0.0101043,
-4.28301,-0.584538,-5.16306,0.0153214,1.06505,-0.00355792,0.00334325,0,0.0707351,-0.0607026,-0.00860523,
-4.22918,-0.509063,-5.17817,0.00547281,1.07951,0.00420781,0.0027115,0,0.0631536,-0.0514013,-0.00760993,
-4.14534,-0.420247,-5.18473,0.0007969,1.12143,-0.0028332,0.00118663,0,0.0458734,-0.0425384,-0.00668519,
-4.08304,-0.339809,-5.18967,5.72913e-05,1.15765,-0.00916604,0.000725425,0,0.0367049,-0.034298,-0.00587991,
-4.05584,-0.23126,-5.19295,0.0020389,1.1608,0.00388415,0.00170286,0,0.0400772,-0.0270784,-0.00493331,
-3.98204,-0.155741,-5.1885,0.0066437,1.21734,0.00633847,0.00156963,0,0.0303628,-0.0199265,-0.00424086,
-3.85571,-0.0780053,-5.18397,0.0130065,1.33138,-0.00580532,0.000877468,0,0.0154141,-0.0141144,-0.00345995,
-3.79477,-0.02182,-5.18001,0.0206111,1.38589,-0.0107644,0.00102398,0,0.0100707,-0.0085972,-0.00284772,
-3.81031,0.0393947,-5.17314,0.0289414,1.36287,0.00335909,6.45756e-05,0,0.0153781,-0.00427726,-0.00247696,
-3.77873,0.0927445,-5.16231,0.0373171,1.38469,0.00802314,0.000778249,0,0.00886494,-0.000742552,-0.001806,
-3.68544,0.141755,-5.15253,0.0456606,1.47023,-0.00332452,-0.000356339,0,-0.0017193,0.00240002,-0.00150968,
-3.62956,0.176559,-5.14603,0.0533996,1.52146,-0.00979572,0.000347175,0,-0.0028741,0.00454828,-0.00119218,
-3.66271,0.202319,-5.13837,0.0606599,1.48245,0.00249017,0.000192533,0,0.0026334,0.00635956,-0.000868666,
-3.6767,0.227136,-5.12769,0.0670468,1.45979,0.0112457,-0.000171163,0,0.000152334,0.00753974,-0.000526495,
-3.58982,0.243308,-5.11851,0.0726941,1.53818,-0.00310567,-0.0002163,0,-0.00941058,0.00829284,-0.000183715,
-3.55509,0.249755,-5.11313,0.0773353,1.56756,-0.00905664,0.000428735,0,-0.0117642,0.00850262,0.000118515,
-3.59513,0.25506,-5.10812,0.0809943,1.52297,0.000733085,0.000313444,0,-0.00540633,0.00842626,0.000387649,
-3.61147,0.25863,-5.10041,0.083766,1.49917,0.00801995,-0.000111894,0,-0.00197411,0.00799137,0.00046629,
-3.54898,0.259036,-5.09373,0.0856767,1.55445,-0.00317188,-4.56246e-06,0,-0.011098,0.00762039,0.000703672,
-3.51016,0.257467,-5.09167,0.0867491,1.59069,-0.0116301,-0.000241098,0,-0.0104088,0.00687725,0.000888376,
-3.57343,0.2614,-5.08769,0.0871712,1.52425,0.000968189,-0.00188648,0,-0.00234965,0.00616959,0.000921249,
-3.59889,0.244196,-5.08446,0.086894,1.49387,0.00943838,0.000375417,0,-0.00103885,0.00513296,0.001056,
-3.56075,0.235731,-5.08073,0.0860855,1.52733,0.00409822,-0.000131778,0,-0.00524454,0.00409684,0.00119787,
-3.52867,0.228177,-5.08068,0.0848987,1.55861,-0.00592234,-3.775e-06,0,-0.0104401,0.00316651,0.00120592,
-3.56317,0.2226,-5.08137,0.0834344,1.52456,-0.00258781,-0.000217372,0,-0.00128017,0.00245695,0.00127587,
-3.58796,0.210091,-5.07931,0.0816854,1.49687,0.00560487,-0.000179835,0,0.00142078,0.00153616,0.00128246,
-3.56769,0.199165,-5.07651,0.0798297,1.51354,0.00269488,-0.000239046,0,-0.0051255,0.000904923,0.00149533,
-3.52842,0.189582,-5.0767,0.0778572,1.5523,-0.00920877,0.000698037,0,-0.00737887,0.000192225,0.00152177,
-3.57875,0.18903,-5.07921,0.0759987,1.50471,-0.00295077,-0.000438295,0,0.000112636,-0.00021477,0.00171466,
-3.63779,0.185635,-5.0791,0.0740806,1.44562,0.00800058,-0.000135598,0,0.00405158,-0.00088728,0.00140987,
-3.62322,0.178149,-5.07685,0.0723192,1.45748,0.00564574,0.000473409,0,-0.00106942,-0.0013377,0.00162499,
-3.58719,0.17163,-5.07702,0.0707051,1.49324,-0.00381293,0.000142784,0,-0.00401616,-0.00164328,0.00183735,
-3.56894,0.170079,-5.07927,0.0693282,1.51368,-0.0091017,-0.000941583,0,0.000359428,-0.00165644,0.00159814,
-3.61806,0.163868,-5.08061,0.0680961,1.46568,0.00308088,-0.000331062,0,0.00393404,-0.00185375,0.00154502,
-3.62053,0.1628,-5.07881,0.0671149,1.46142,0.00752324,-0.00114097,0,0.00472037,-0.00179205,0.00136541,
